mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SWING,2023-11-24 00:00:00,2023-11-25 00:00:00,37326.06372,37687.16106,3.0,82272.1453307998,2.7507890628709473,TIMEOUT,288,3073128.348784433
SWING,2023-11-25 00:00:00,2023-11-26 00:00:00,37702.238939999996,37754.147659999995,3.0,8065.16207281222,0.26283568641029453,TIMEOUT,288,3076583.8183340686
SWING,2023-11-26 00:00:00,2023-11-27 00:00:00,37769.25234,37428.0129,3.0,-87830.63522077032,-2.859099061927559,TIMEOUT,288,2984138.307385797
SWING,2023-11-27 00:00:00,2023-11-28 00:00:00,37442.9871,37235.85134,3.0,-53895.51581282968,-1.8087794523476795,TIMEOUT,288,2925766.584111889
SWING,2023-11-28 00:00:00,2023-11-29 00:00:00,37250.748660000005,37751.4482,3.0,113360.63149820438,3.8803822733692734,TIMEOUT,288,3034738.5657339254
SWING,2023-11-29 00:00:00,2023-11-30 00:00:00,37766.5518,37796.03928,3.0,2548.925267186327,0.0841177697350395,TIMEOUT,288,3032735.383152511
SWING,2023-11-30 00:00:00,2023-12-01 00:00:00,37811.16072,37670.264440000006,3.0,-38377.27764275043,-1.2673354309552143,TIMEOUT,288,2989809.0024350313
SWING,2023-12-01 00:00:00,2023-12-02 00:00:00,37685.33556,38667.7649,3.0,228880.98666967277,7.666871820870175,TIMEOUT,288,3214205.2756010513
SWING,2023-12-02 00:00:00,2023-12-03 00:00:00,38683.2351,39418.1148,3.0,178004.02592398456,5.546361162021878,TIMEOUT,288,3387387.9936116342
SWING,2024-01-03 16:00:00,2024-01-04 16:00:00,43493.1969,43992.1998,3.0,111285.22471535415,3.2902166368460226,TIMEOUT,288,3493592.1363365706
SWING,2024-01-04 16:00:00,2024-01-05 16:00:00,44009.8002,43528.39258,3.0,-119648.82437475836,-3.4299529695887925,TIMEOUT,288,3368702.9237573077
SWING,2024-01-05 16:00:00,2024-01-06 16:00:00,43545.80742,43868.82448,3.0,69770.43271055874,2.0742477790529317,TIMEOUT,288,3433420.3020822303
